year,number,text_type
2019,1,Literature
2019,2,Literature
2019,3,Literature
2019,4,Literature
2019,5,Literature
2019,6,Literature
2019,7,Literature
2019,8,Literature
2019,9,Literature
2019,10,Informational
2019,11,Informational
2019,12,Informational
2019,13,Informational
2019,14,Informational
2019,15,Informational
2019,16,Informational
2019,17,Informational
2019,18,Informational
2019,19,Literature
2019,20,Literature
2019,21,Literature
2019,22,Literature
2019,23,Literature
2019,24,Literature
2019,25,Literature
2019,26,Literature
2019,27,Literature
2019,28,Literature
2019,29,Literature
2019,30,Literature
2019,31,Literature
2019,LA9.CONV1,Literature
2019,LA18.CONV2,Informational
2019,LA27.CONV3,Literature
2019,WR9.IDEA1,Literature
2019,WR18.IDEA2,Informational
2019,WR27.IDEA3,Literature
2021,1,Literature
2021,2,Literature
2021,3,Literature
2021,4,Literature
2021,5,Literature
2021,6,Literature
2021,7,Literature
2021,8,Literature
2021,9,Literature
2021,10,Literature
2021,11,Literature
2021,12,Literature
2021,13,Literature
2021,14,Informational
2021,15,Informational
2021,16,Informational
2021,17,Informational
2021,18,Informational
2021,19,Informational
2021,20,Informational
2021,21,Informational
2021,22,Informational
2021,23,Literature
2021,24,Literature
2021,25,Literature
2021,26,Literature
2021,27,Literature
2021,28,Literature
2021,29,Literature
2021,30,Literature
2021,WR9.IDEA1,Literature
2021,LA9.CONV1,Literature
2021,WR22.IDEA2,Informational
2021,LA22.CONV2,Informational
2022,1,Literature
2022,2,Literature
2022,3,Literature
2022,4,Literature
2022,5,Literature
2022,6,Literature
2022,7,Literature
2022,8,Literature
2022,9,Literature
2022,10,Literature
2022,11,Literature
2022,12,Literature
2022,13,Literature
2022,14,Informational
2022,15,Informational
2022,16,Informational
2022,17,Informational
2022,18,Informational
2022,19,Informational
2022,20,Informational
2022,21,Informational
2022,22,Informational
2022,23,Informational
2022,24,Informational
2022,25,Informational
2022,26,Informational
2022,27,Informational
2022,28,Informational
2022,29,Informational
2022,30,Informational
2022,WR9.IDEA1,Literature
2022,LA9.CONV1,Literature
2022,WR22.IDEA2,Informational
2022,LA22.CONV2,Informational
2023,1,Literature
2023,2,Literature
2023,3,Literature
2023,4,Literature
2023,5,Literature
2023,6,Literature
2023,7,Literature
2023,8,Literature
2023,9,Literature
2023,10,Literature
2023,11,Literature
2023,12,Literature
2023,13,Literature
2023,14,Informational
2023,15,Informational
2023,16,Informational
2023,17,Informational
2023,18,Informational
2023,19,Informational
2023,20,Informational
2023,21,Informational
2023,22,Informational
2023,23,Literature
2023,24,Literature
2023,25,Literature
2023,26,Literature
2023,27,Literature
2023,28,Literature
2023,29,Literature
2023,30,Literature
2023,WR8.IDEA1,Literature
2023,LA8.CONV1,Literature
2023,WR22.IDEA2,Informational
2023,LA22.CONV2,Informational
2024,1,Literature
2024,2,Literature
2024,3,Literature
2024,4,Literature
2024,5,Literature
2024,6,Literature
2024,7,Literature
2024,8,Literature
2024,9,Literature
2024,10,Literature
2024,11,Literature
2024,12,Literature
2024,13,Literature
2024,14,Informational
2024,15,Informational
2024,16,Informational
2024,17,Informational
2024,18,Informational
2024,19,Informational
2024,20,Informational
2024,21,Informational
2024,22,Informational
2024,23,Informational
2024,24,Informational
2024,25,Informational
2024,26,Informational
2024,27,Informational
2024,28,Informational
2024,29,Informational
2024,30,Informational
2024,WR9.IDEA1,Literature
2024,LA9.CONV1,Literature
2024,WR22.IDEA2,Informational
2024,LA22.CONV2,Informational
